partNumber,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts
C0176,CAP 1000uF 50V Radial ALE,capacitor,1000UF,C0176,,250,,C0176,C0176,,
10000PF_50V_AXL,10000pF 50V X7R 0805,capacitor,10000PF,0805,,250,,10000PF_50V_AXL,A103K15X7RF5TAA,,
L,LM2574N-5G SWITCHING REGULATOR,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
680^_2512,"680 Ohm, 1W, 5%, Metal Film",resistor,680^,RESC6332X71,,100,,680^_2512,RESC6332X71,,
22PF_100V_AXIAL,22 pF 5% 100V cap axial,capacitor,22PF,AXIAL,,100,,22PF_100V_AXIAL,C410,,
100UF_35V_ALE,100 uF 160V 20% RAD ALUM,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,
100UF_35V_ALE,100uF 50V A/E,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,
SBD_40V_200MA,Gen Purp 75V 200mA SOD323,diode,,SOD-523/0603,,250,,SBD_40V_200MA,SOD-523/0603,,
47UF_25V_RAD,47uF 400V Electrolytic Cap,capacitor,47UF,UVR1E470MDD,,250,,47UF_25V_RAD,UVR1E470MDD,,
PIC24FJ64GA306,PIC24FJ64GA306-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,
47UF_25V_RAD,47uF 50V 6.3mm Alum Elec,capacitor,47UF,UVR1E470MDD,,250,,47UF_25V_RAD,UVR1E470MDD,,
680^_2512,680^ 1% 2W 2512,resistor,680^,2512,,250,,680^_2512,RESC6332X71,,
3.3K_0603,3.3K 5% 0.25W,resistor,3.3K,RESC1608X60,,100,,3.3K_0603,RESC1608X60,,
53.6K_0603,53.6K 1% 1/10W 0603,resistor,53.6K,0603,,100,,53.6K_0603,RESC1608X60,,
86.6K_0805,RES 86.6k 1% 1/8W 0805,resistor,86.6K,0805,,500,,86.6K_0805,RESC2012X65,,
RP2040,ARM Cortex M0+ 32B RP2040,ic,,QFN40P700X700X90-57N,,100,,RP2040,QFN40P700X700X90-57N,,
1UF_0603,1uF Ceramic 16V 0603,capacitor,1UF,0603,,1000,,1UF_0603,CAPC1608X85,,
10UF_1206_10%_25V,10uF 35V 10% 2312 Tantalum,capacitor,10UF,CAPC3216X135,,1000,,10UF_1206_10%_25V,CAPC3216X135,,
DUAL_50V_100MA,LED Drvr 100mA shift register,ic,,SOT23-DOUBLEANODE,,250,,DUAL_50V_100MA,SOT23-DOUBLEANODE,,
2.2K_0805,2.2K 1/4W 1% 0805,resistor,2.2K,0805,,1000,,2.2K_0805,RESC2012X65,,
22K_AXIAL,22K  5%  3W Metal Oxide,resistor,22K,SFR16S,,100,,22K_AXIAL,SFR16S,,
4.7K_0603,4.7K 1% 1/10W 0603,resistor,4.7K,0603,,250,,4.7K_0603,RESC1608X60,,
100PF_0603,"100pF 50V 1% 0603 C0G, NP0",capacitor,100PF,0603,,100,,100PF_0603,CAPC1608X85,,
