partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
180^_0603,RSM0134,RES 180 OHM 1/8W 1% 0603,resistor,180^,0603,,500,,180^_0603,RESC1608X60,,,67579,105,high,37
VREG_SOT23-5,TSM0008,XSTR MOSFET NCH 20V 3.2A SOT23,transistor,,SOT23-5,,500,,VREG_SOT23-5,SOT23-5,,,66702,128,medium,2
4.7K_0805_1%_0.125W,RSM0049,"4.7K,1/8W,1%,0805,SMD",resistor,4.7K,0805,,500,,4.7K_0805_1%_0.125W,RESC2012X65,,,66377,123,medium,13
100^_0805,RSM0107,RES 100R 1% 1/8W 0805,resistor,100^,0805,,2500,,100^_0805,RESC2012X65,,,64048,24,high,2
1K_0805_1%_0.25W,RSM0083,1K 1/8W 1% 0805 SMD,resistor,1K,0805,,500,,1K_0805_1%_0.25W,RESC2012X65,,,62842,99,medium,8
100K_0805,RSM0045,100K 1% 1/8W 0805,resistor,100K,0805,,500,,100K_0805,RESC2012X65,,,59735,81,high,11
22UF_1206_10V,CSM0082,22uF 10V 1206 Ceramic,capacitor,22UF,1206,,250,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,56213,168,medium,38
100^_0603,R0006,100^ 5% 0.25W AXIAL LF,resistor,100^,AXIAL,,500,,100^_0603,RESC1608X60,,,54764,81,low,140
1K_AXIAL,R0017,1K 5% 0.25W AXIAL LF,resistor,1K,AXIAL,,1000,,1K_AXIAL,SFR16S,,,54232,60,high,79
1N4148,D0006,1N4148TR,diode,,DO-1N4148,,500,,1N4148,DO-1N4148,,,48562,73,medium,90
220^_0603,RSM0140,0^ 1/10W 0603 JUMPER,resistor,0^,0603,,500,,220^_0603,RESC1608X60,,,45966,97,medium,6
220^_1206,RSM0144,220^ 5% 2/3W 1206,resistor,220^,1206,,3000,,220^_1206,RESC3216X70,,,42294,14,high,43
10K_AXIAL,R0003,10K 1% 0.25W Axial Lead Free,resistor,10K,AXIAL,,500,,10K_AXIAL,SFR16S,,,42293,94,high,65
5.1K_0603,RSM0135,RES 1.00K OHM 1/10W 1% 0603 SM,resistor,1.00K,0603,,500,,5.1K_0603,RESC1608X60,,,38222,87,medium,19
BSS670S2L,TSM0007,N-CH FET SOT-23 BSS670S2L,transistor,,SOT23-FET,,500,,BSS670S2L,SOT23-FET,,,37244,53,medium,40
GP_1000V_1A_SOD-123F,DSM0018,Diode Schottky 100V SOD123,diode,,SOD-123F,,1000,,GP_1000V_1A_SOD-123F,SOD-123F,,,36993,44,medium,13
10NF_0805,CSM0009,10NF 50V 10% 0805 LF,capacitor,10NF,0805,,500,,10NF_0805,CAPC2012X110,,,35637,87,high,42
100UF_35V_ALE,CSM0078,100UF 25V ALE SMT,capacitor,100UF,CAPAE660X800N,,250,,100UF_35V_ALE,CAPAE660X800N,,,32834,126,low,44
100^_0603,RSM0210,100^ 1% 1/10W 0603,resistor,100^,0603,,500,,100^_0603,RESC1608X60,,,32727,70,high,140
100^_1210_5%_0.5W,RSM0122,"100 Ohm,1/2W,5%,1210,antisurge",resistor,100^,1210,,1000,,100^_1210_5%_0.5W,RESC3225X70N,,,30728,36,high,36
6.34K_0805,RSM0120,"6.34K, 1/8W, 1%, 0805",resistor,6.34K,0805,,500,,6.34K_0805,RESC2012X65,,,30355,75,high,9
0.01UF_1210_500V,C0035,0.01uF 50V CER AXIAL LF,capacitor,0.01UF,AXIAL,,250,,0.01UF_1210_500V,CAPC3225X135,,,29355,89,low,4
1.2K_0603,R0028,1.2K 5% 0.25W CA,resistor,1.2K,RESC1608X60,,500,,1.2K_0603,RESC1608X60,,,28166,50,low,52
MMBT3904LT1,TSM0003,TSM MMBT3904LT1G SOT-23,transistor,,SOT95P237X112-3N,,250,,MMBT3904LT1,SOT95P237X112-3N,,,27787,125,medium,46
3.3K_0805_1%,RSM0084,3.3K 1/8W 1% 0805 SMD,resistor,3.3K,0805,,500,,3.3K_0805_1%,RESC2012X65,,,25058,56,high,4
270^_0805,R0138,270^ 5% 1/4W Axial LF,resistor,270^,AXIAL,,500,,270^_0805,RESC2012X65,,,24520,39,low,3
620^_1210,RSM0115,620 1/2W 5% 1210 anti surge,resistor,620^,1210,,500,,620^_1210,RESC3225X70N,,,20920,41,high,61
1.62K_0805_0.1%,RSM0106,RES 1.62k OHM 1/8W .1% 0805SMD,resistor,1.62K,RESC2012X65,,250,,1.62K_0805_0.1%,RESC2012X65,,,20549,73,low,30
1M_0603_1%,R0392,1M 1% 1/4W Safety Resistor,resistor,1M,RESC1608X60,,500,,1M_0603_1%,RESC1608X60,,,20256,36,low,26
TSM0019,TSM0019,Triac  T1235-600G-TR  D2Pak,transistor,,D2PAK,,250,,TSM0019,D2PAK,,,19583,57,high,1
2.7K_0805,RSM0051,2.7K 1/8W 1% 0805 LF,resistor,2.7K,0805,,250,,2.7K_0805,RESC2012X65,,,19281,67,high,9
75^_0805,RSM0035,75^ 1/8W 1% 0805,resistor,75^,0805,,500,,75^_0805,RESC2012X65,,,19250,26,high,29
1M_0805_1%,RSM0076,1M 1/8W 1% 0805,resistor,1M,0805,,250,,1M_0805_1%,RESC2012X65,,,19030,65,high,6
4.7K_0603,R0338,4.7K SIP 9 PIN 2% 8RES,resistor,4.7K,RESC1608X60,,250,,4.7K_0603,RESC1608X60,,,15980,68,low,28
